date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:21:33	15413/15413	---M--	200	added ('OK')	image/jpeg	etag:%223c35-5259c1cb05f80%22	http://www.exotheme.com/gocargo/img/logo/4.jpg	D:/Sources%20code/trucking1/www.exotheme.com/gocargo/img/logo/4.jpg	(from http://www.exotheme.com/gocargo/index-3.html)
17:21:35	14831/14831	---M--	200	added ('OK')	image/jpeg	etag:%2239ef-5259c1cbfa1c0%22	http://www.exotheme.com/gocargo/img/logo/5.jpg	D:/Sources%20code/trucking1/www.exotheme.com/gocargo/img/logo/5.jpg	(from http://www.exotheme.com/gocargo/index-3.html)
17:21:36	12028/12028	---M--	200	added ('OK')	image/jpeg	etag:%222efc-5259c1cbfa1c0%22	http://www.exotheme.com/gocargo/img/logo/6.jpg	D:/Sources%20code/trucking1/www.exotheme.com/gocargo/img/logo/6.jpg	(from http://www.exotheme.com/gocargo/index-3.html)
17:21:37	117230/117230	---M--	200	added ('OK')	image/jpeg	etag:%221c9ee-525e7963ff400%22	http://www.exotheme.com/gocargo/img/pic-1.jpg	D:/Sources%20code/trucking1/www.exotheme.com/gocargo/img/pic-1.jpg	(from http://www.exotheme.com/gocargo/index-3.html)
17:21:43	110291/110291	---M--	200	added ('OK')	image/jpeg	etag:%221aed3-52271ea0e2e40%22	http://www.exotheme.com/gocargo/img/pic-2.jpg	D:/Sources%20code/trucking1/www.exotheme.com/gocargo/img/pic-2.jpg	(from http://www.exotheme.com/gocargo/index-3.html)
17:21:45	55150/55150	---M--	200	added ('OK')	image/jpeg	etag:%22d76e-52271f116b7c0%22	http://www.exotheme.com/gocargo/img/news/pic%20(2).jpg	D:/Sources%20code/trucking1/www.exotheme.com/gocargo/img/news/pic%20(2).jpg	(from http://www.exotheme.com/gocargo/index-3.html)
17:21:46	53209/53209	---M--	200	added ('OK')	image/jpeg	etag:%22cfd9-52271f125fa00%22	http://www.exotheme.com/gocargo/img/news/pic%20(3).jpg	D:/Sources%20code/trucking1/www.exotheme.com/gocargo/img/news/pic%20(3).jpg	(from http://www.exotheme.com/gocargo/index-3.html)
17:21:49	16033/16033	---M--	200	added ('OK')	application/javascript	etag:%223ea1-52729072bb2c0%22	http://www.exotheme.com/gocargo/js/jquery.isotope.min.js	D:/Sources%20code/trucking1/www.exotheme.com/gocargo/js/jquery.isotope.min.js	(from http://www.exotheme.com/gocargo/index-3.html)
17:21:50	28756/28756	---M--	200	added ('OK')	application/javascript	etag:%227054-5272906eea9c0%22	http://www.exotheme.com/gocargo/js/bootstrap.min.js	D:/Sources%20code/trucking1/www.exotheme.com/gocargo/js/bootstrap.min.js	(from http://www.exotheme.com/gocargo/index-3.html)
17:21:50	4760/4760	---M--	200	added ('OK')	application/javascript	etag:%221298-5272906fdec00%22	http://www.exotheme.com/gocargo/js/easing.js	D:/Sources%20code/trucking1/www.exotheme.com/gocargo/js/easing.js	(from http://www.exotheme.com/gocargo/index-3.html)
17:21:51	1734/1734	---M--	200	added ('OK')	application/javascript	etag:%226c6-527290777fe00%22	http://www.exotheme.com/gocargo/js/jquery.ui.totop.js	D:/Sources%20code/trucking1/www.exotheme.com/gocargo/js/jquery.ui.totop.js	(from http://www.exotheme.com/gocargo/index-3.html)
17:21:52	6524/6524	---M--	200	added ('OK')	application/javascript	etag:%22197c-52729070d2e40%22	http://www.exotheme.com/gocargo/js/ender.js	D:/Sources%20code/trucking1/www.exotheme.com/gocargo/js/ender.js	(from http://www.exotheme.com/gocargo/index-3.html)
17:21:53	117063/117063	---M--	200	added ('OK')	image/jpeg	etag:%221c947-52271f1077580%22	http://www.exotheme.com/gocargo/img/news/pic%20(1).jpg	D:/Sources%20code/trucking1/www.exotheme.com/gocargo/img/news/pic%20(1).jpg	(from http://www.exotheme.com/gocargo/index-3.html)
17:21:53	3261/3261	---M--	200	added ('OK')	application/javascript	etag:%22cbd-52729071c7080%22	http://www.exotheme.com/gocargo/js/jquery.fitvids.js	D:/Sources%20code/trucking1/www.exotheme.com/gocargo/js/jquery.fitvids.js	(from http://www.exotheme.com/gocargo/index-3.html)
17:21:54	84345/84345	---M--	200	added ('OK')	application/javascript	etag:%2214979-5272907597980%22	http://www.exotheme.com/gocargo/js/jquery.min.js	D:/Sources%20code/trucking1/www.exotheme.com/gocargo/js/jquery.min.js	(from http://www.exotheme.com/gocargo/index-3.html)
17:21:55	11195/11195	---M--	200	added ('OK')	application/javascript	etag:%222bbb-527290768bbc0%22	http://www.exotheme.com/gocargo/js/jquery.plugin.js	D:/Sources%20code/trucking1/www.exotheme.com/gocargo/js/jquery.plugin.js	(from http://www.exotheme.com/gocargo/index-3.html)
17:21:55	8427/8427	---M--	200	added ('OK')	application/javascript	etag:%2220eb-5272907e2cdc0%22	http://www.exotheme.com/gocargo/js/wow.min.js	D:/Sources%20code/trucking1/www.exotheme.com/gocargo/js/wow.min.js	(from http://www.exotheme.com/gocargo/index-3.html)
17:21:58	21200/21200	---M--	200	added ('OK')	application/javascript	etag:%2252d0-52729073af500%22	http://www.exotheme.com/gocargo/js/jquery.magnific-popup.min.js	D:/Sources%20code/trucking1/www.exotheme.com/gocargo/js/jquery.magnific-popup.min.js	(from http://www.exotheme.com/gocargo/index-3.html)
17:21:58	52797/52797	---M--	200	added ('OK')	application/javascript	etag:%22ce3d-5272907b50700%22	http://www.exotheme.com/gocargo/js/owl.carousel.js	D:/Sources%20code/trucking1/www.exotheme.com/gocargo/js/owl.carousel.js	(from http://www.exotheme.com/gocargo/index-3.html)
17:21:58	1003/1003	---M--	200	added ('OK')	application/javascript	etag:%223eb-527290768bbc0%22	http://www.exotheme.com/gocargo/js/jquery.scrollto.js	D:/Sources%20code/trucking1/www.exotheme.com/gocargo/js/jquery.scrollto.js	(from http://www.exotheme.com/gocargo/index-3.html)
17:21:59	15615/15615	---M--	200	added ('OK')	application/javascript	etag:%223cff-5272907c44940%22	http://www.exotheme.com/gocargo/js/typed.js	D:/Sources%20code/trucking1/www.exotheme.com/gocargo/js/typed.js	(from http://www.exotheme.com/gocargo/index-3.html)
